Date : 2020-06-09 23:47:19
Directory : f:\毕业设计\TeachingManagement_font-end_umi
Total : 247 files,  17499 codes, 536 comments, 1791 blanks, all 19826 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| f:\毕业设计\TeachingManagement_font-end_umi\src\models\login.ts                                                     | TypeScript       |         81 |          4 |          9 |         94 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\models\setting.ts                                                   | TypeScript       |         33 |          0 |          5 |         38 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\models\user.ts                                                      | TypeScript       |         81 |          0 |         10 |         91 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\404.tsx                                                       | TypeScript React |         16 |          0 |          3 |         19 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Admin.tsx                                                     | TypeScript React |         30 |          0 |          2 |         32 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Authorized.tsx                                                | TypeScript React |         33 |          0 |          4 |         37 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Welcome.less                                                  | Less             |          7 |          0 |          2 |          9 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\Welcome.tsx                                                   | TypeScript React |         60 |          0 |          3 |         63 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\Center.less                                    | Less             |         74 |          0 |         13 |         87 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\ArticleListContent\index.less       | Less             |         36 |          0 |          3 |         39 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\ArticleListContent\index.tsx        | TypeScript React |         29 |          0 |          3 |         32 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Articles\index.less                 | Less             |         11 |          0 |          2 |         13 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Articles\index.tsx                  | TypeScript React |         78 |         14 |          8 |        100 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\AvatarList\index.less               | Less             |         44 |          0 |          7 |         51 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\AvatarList\index.tsx                | TypeScript React |         72 |          0 |         14 |         86 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Projects\index.less                 | Less             |         58 |          0 |          6 |         64 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\components\Projects\index.tsx                  | TypeScript React |         47 |          0 |          4 |         51 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\data.d.ts                                      | TypeScript       |         80 |          0 |          7 |         87 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\index.tsx                                      | TypeScript React |        226 |          4 |         16 |        246 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\model.ts                                       | TypeScript       |         98 |          1 |          8 |        107 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\center\service.ts                                     | TypeScript       |         10 |          0 |          4 |         14 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\BaseView.less                     | Less             |         53 |          0 |          6 |         59 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\base.tsx                          | TypeScript React |        179 |          0 |         11 |        190 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\binding.tsx                       | TypeScript React |         45 |          0 |          4 |         49 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\notification.tsx                  | TypeScript React |         42 |          0 |          5 |         47 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\security.tsx                      | TypeScript React |         59 |          0 |          5 |         64 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\data.d.ts                                    | TypeScript       |         32 |          0 |          3 |         35 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\index.tsx                                    | TypeScript React |        164 |          0 |         24 |        188 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\model.ts                                     | TypeScript       |         57 |          0 |          8 |         65 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\service.ts                                   | TypeScript       |         18 |          0 |          4 |         22 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\style.less                                   | Less             |         92 |          2 |          4 |         98 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\data.d.ts                                         | TypeScript       |         12 |          0 |          3 |         15 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\index.tsx                                         | TypeScript React |         93 |          1 |          7 |        101 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\model.ts                                          | TypeScript       |         67 |          0 |          8 |         75 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\service.ts                                        | TypeScript       |         10 |          1 |          3 |         14 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\style.less                                        | Less             |        189 |          0 |         11 |        200 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\components\OperationModal.tsx                   | TypeScript React |        124 |          1 |          9 |        134 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\data.d.ts                                       | TypeScript       |         17 |          0 |          2 |         19 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\index.tsx                                       | TypeScript React |        206 |          1 |         18 |        225 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\model.ts                                        | TypeScript       |        128 |          3 |         10 |        141 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\service.ts                                      | TypeScript       |         37 |          4 |          7 |         48 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\style.less                                      | Less             |        186 |          0 |         10 |        196 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\utils\utils.less                                | Less             |         46 |          2 |          3 |         51 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\components\OperationModal.tsx                      | TypeScript React |        120 |          0 |         11 |        131 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\data.d.ts                                          | TypeScript       |         16 |          0 |          2 |         18 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\index.tsx                                          | TypeScript React |        195 |         11 |         19 |        225 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\model.ts                                           | TypeScript       |        142 |          4 |         10 |        156 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\data.d.ts                                 | TypeScript       |         22 |          0 |          3 |         25 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\index.tsx                                 | TypeScript React |        108 |          0 |          6 |        114 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\model.ts                                  | TypeScript       |         56 |          0 |          8 |         64 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\service.ts                                | TypeScript       |          4 |          0 |          2 |          6 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\style.less                                | Less             |        189 |          0 |         11 |        200 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\service.ts                                         | TypeScript       |         36 |          4 |          7 |         47 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\style.less                                         | Less             |        189 |          0 |         11 |        200 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\index.tsx                                             | TypeScript React |        163 |          1 |          8 |        172 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\ArticleListContent\index.less         | Less             |         35 |          0 |          3 |         38 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\ArticleListContent\index.tsx          | TypeScript React |         38 |          0 |          4 |         42 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\StandardFormRow\index.less            | Less             |         84 |          0 |          5 |         89 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\StandardFormRow\index.tsx             | TypeScript React |         35 |          0 |          5 |         40 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\TagSelect\index.less                  | Less             |         32 |          0 |          2 |         34 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\TagSelect\index.tsx                   | TypeScript React |        160 |          0 |         23 |        183 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\data.d.ts                                        | TypeScript       |         19 |          0 |          1 |         20 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\index.tsx                                        | TypeScript React |        165 |         75 |         11 |        251 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\model.ts                                         | TypeScript       |         57 |          0 |          8 |         65 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\service.ts                                       | TypeScript       |          6 |          0 |          2 |          8 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\style.less                                       | Less             |         29 |          0 |          3 |         32 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\model.ts                                              | TypeScript       |         62 |          0 |          8 |         70 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\service.ts                                            | TypeScript       |         10 |          0 |          3 |         13 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\style.less                                            | Less             |         10 |          0 |          3 |         13 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\_mock.ts                                   | TypeScript       |        185 |          1 |         12 |        198 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Bar\index.tsx            | TypeScript React |        116 |          0 |         18 |        134 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\ChartCard\index.less     | Less             |         74 |          0 |          2 |         76 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\ChartCard\index.tsx      | TypeScript React |         91 |          0 |          7 |         98 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Field\index.less         | Less             |         16 |          0 |          2 |         18 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Field\index.tsx          | TypeScript React |         14 |          0 |          4 |         18 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Gauge\index.tsx          | TypeScript React |        171 |          0 |          9 |        180 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniArea\index.tsx       | TypeScript React |        121 |          0 |         10 |        131 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniBar\index.tsx        | TypeScript React |         45 |          1 |          9 |         55 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.less  | Less             |         36 |          0 |          2 |         38 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.tsx   | TypeScript React |         38 |          0 |          4 |         42 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Pie\index.less           | Less             |         92 |          0 |          3 |         95 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Pie\index.tsx            | TypeScript React |        270 |          5 |         35 |        310 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TagCloud\index.less      | Less             |          6 |          0 |          1 |          7 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TagCloud\index.tsx       | TypeScript React |        181 |          3 |         29 |        213 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TimelineChart\index.less | Less             |          4 |          0 |          2 |          6 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TimelineChart\index.tsx  | TypeScript React |        119 |          0 |         14 |        133 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\WaterWave\index.less     | Less             |         27 |          0 |          2 |         29 |
| f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\WaterWave\index.tsx      | TypeScript React |        200 |          4 |         33 |        237 |
